client_id,client_name,layer_name,param_name,flat_index_in_param,selected_count,total_rounds,selected_frequency,importance_mean,importance_std,importance_rank_mean
1,client_1,fc1,fc1.bias,0,20,20,1.0,9.910526968470724e-07,3.888200813749414e-06,113.05
1,client_1,fc1,fc1.bias,1,20,20,1.0,8.337275971825875e-08,3.634134342559885e-07,315.2
1,client_1,fc1,fc1.bias,2,20,20,1.0,3.164135841116078e-08,1.374604563824267e-07,312.1
1,client_1,fc1,fc1.bias,3,20,20,1.0,9.500552887257855e-07,3.5501141783644407e-06,111.75
1,client_1,fc1,fc1.bias,4,20,20,1.0,1.9698729829542573e-07,8.586477264308627e-07,316.15
1,client_1,fc1,fc1.bias,5,20,20,1.0,5.595949232883868e-08,2.4392177199324735e-07,319.45
1,client_1,fc1,fc1.bias,6,20,20,1.0,8.545625982300578e-08,3.0126373739934167e-07,143.7
1,client_1,fc1,fc1.bias,7,20,20,1.0,0.0,0.0,328.0
1,client_1,fc1,fc1.bias,8,20,20,1.0,9.726425517379843e-07,3.422748603471168e-06,80.35
1,client_1,fc1,fc1.bias,9,20,20,1.0,6.403378022432895e-07,1.917431406572778e-06,95.35
1,client_1,fc1,fc1.bias,10,20,20,1.0,4.6181018917199986e-07,1.9727194391677473e-06,122.1
1,client_1,fc1,fc1.bias,11,20,20,1.0,1.3824144884377886e-10,5.717685659259579e-10,323.85
1,client_1,fc1,fc1.bias,12,20,20,1.0,1.914685917137754e-07,5.700191573242324e-07,128.45
1,client_1,fc1,fc1.bias,13,20,20,1.0,0.0,0.0,334.0
1,client_1,fc1,fc1.bias,14,20,20,1.0,1.2462652421163511e-07,5.432344247232425e-07,326.45
1,client_1,fc1,fc1.bias,15,20,20,1.0,6.093005469926145e-08,1.8802690895062556e-07,141.8
1,client_1,fc1,fc1.weight,0,20,20,1.0,1.750492727200869e-06,4.546632399039657e-06,50.3
1,client_1,fc1,fc1.weight,1,20,20,1.0,3.111475478700661e-07,1.2879381065773046e-06,143.65
1,client_1,fc1,fc1.weight,2,20,20,1.0,2.8576709195449536e-07,8.322550705610272e-07,101.2
1,client_1,fc1,fc1.weight,3,20,20,1.0,4.830240895913182e-07,1.666266872838094e-06,114.35
1,client_1,fc1,fc1.weight,4,20,20,1.0,1.2461116102806258e-06,4.616573226416873e-06,86.2
1,client_1,fc1,fc1.weight,5,20,20,1.0,7.316937741516649e-07,2.8533761401298132e-06,104.9
1,client_1,fc1,fc1.weight,6,20,20,1.0,2.259472328338015e-07,6.564668795281599e-07,102.4
1,client_1,fc1,fc1.weight,7,20,20,1.0,1.0025317517927193e-07,4.1808727430718705e-07,134.25
1,client_1,fc1,fc1.weight,8,20,20,1.0,1.7790781884496768e-09,7.089206362880704e-09,170.0
1,client_1,fc1,fc1.weight,9,20,20,1.0,2.407521595647593e-07,6.973610844934695e-07,113.3
1,client_1,fc1,fc1.weight,10,20,20,1.0,4.80741355584069e-06,8.777988720883526e-06,24.6
1,client_1,fc1,fc1.weight,11,20,20,1.0,8.086083785553784e-07,3.3480812067570763e-06,115.95
1,client_1,fc1,fc1.weight,12,20,20,1.0,2.4451346767697875e-06,9.282301592629465e-06,76.5
1,client_1,fc1,fc1.weight,13,20,20,1.0,8.86077568609464e-07,3.2543150731669433e-06,88.55
1,client_1,fc1,fc1.weight,14,20,20,1.0,7.928491773557677e-08,2.3383791959050243e-07,118.15
1,client_1,fc1,fc1.weight,15,20,20,1.0,2.49678948061635e-07,1.0324065708447643e-06,123.35
1,client_1,fc1,fc1.weight,16,20,20,1.0,2.9917631198250747e-07,3.3359440265542763e-07,57.8
1,client_1,fc1,fc1.weight,17,20,20,1.0,1.6923902011429159e-06,5.234005586555632e-06,68.2
1,client_1,fc1,fc1.weight,18,20,20,1.0,7.93755784780914e-08,1.7011414048941446e-07,89.9
1,client_1,fc1,fc1.weight,19,20,20,1.0,6.270273641445982e-07,2.3376145650062393e-06,117.65
1,client_1,fc1,fc1.weight,20,20,20,1.0,9.528746886644513e-07,4.153484473746125e-06,270.3
1,client_1,fc1,fc1.weight,21,20,20,1.0,6.606131591979647e-07,2.8795460017170752e-06,264.1
1,client_1,fc1,fc1.weight,22,20,20,1.0,3.168202908909734e-08,1.3809876312569128e-07,282.8
1,client_1,fc1,fc1.weight,23,20,20,1.0,8.44299652413838e-10,3.6802168629384363e-09,264.15
1,client_1,fc1,fc1.weight,24,20,20,1.0,5.500345196196576e-07,2.397544886481028e-06,261.1
