slot,time,client9_gc_mean,other_clients_gc_mean,other_clients_gc_std,client9_vs_other_slot_z,client9_ratio_to_other_mean
0,00:00,10.337786496350365,7.304914119525548,1.163166574214978,2.6074273831946253,1.4151824822578203
1,00:30,9.583987226277372,6.424793058090024,1.050454286795044,3.00745516287635,1.4917192101945336
2,01:00,8.80570894160584,5.86656587559994,0.9262678454199653,3.1731027699372496,1.50099890265109
3,01:30,8.415347627737226,5.580445897806054,0.9431821419547332,3.0056779107966087,1.5080063102207857
4,02:00,7.810003639672429,5.369656027233733,0.8644208366605376,2.8231013285916813,1.454470007028715
5,02:30,7.922863512283895,5.286630916850225,0.9227074489745373,2.857062223095176,1.4986602312317914
6,03:00,7.952437043795619,5.168261575613272,0.9065879350265004,3.0710484450699904,1.5387063768830187
7,03:30,8.028660583941607,5.192212826946473,1.0475176722850577,2.707780338261692,1.5462888081695298
8,04:00,7.973191605839417,5.09622256680582,0.977883261417052,2.9420373091002467,1.5645297082927063
9,04:30,8.27198083941606,5.092628293837283,0.8695793562931826,3.656195978629975,1.624304850488733
10,05:00,8.270654197080292,5.142326597340265,0.9084202173425681,3.4437009877338793,1.6083486804121063
11,05:30,8.190583941605839,5.483777785138152,1.0521237204866878,2.5727070911542436,1.4936024511794646
12,06:00,8.401349452554745,5.8581398174765855,1.0861066378338342,2.3415837326530093,1.434132628158004
13,06:30,8.949288321167883,6.877030594128086,1.5389590907949116,1.3465320419722286,1.3013303050896972
14,07:00,10.069447992700729,8.219391265456787,1.8387248491194765,1.006162900408885,1.2250843970671015
15,07:30,11.243711678832117,9.16103073463487,1.8101153268367802,1.1505791444994729,1.2273413335819636
16,08:00,11.079123175182481,9.66573502764307,1.674844700689548,0.8438920617281753,1.1462266597933066
17,08:30,10.50089689781022,9.6099444206621,1.5967408896131199,0.5579818760475237,1.0927115119659283
18,09:00,10.000918795620438,9.403985721740325,1.6974193108116051,0.3516709572454992,1.063476603595868
19,09:30,9.554399635036496,8.998409586541346,1.829781991865421,0.30385589702319205,1.06178759070122
20,10:00,9.20140602189781,8.687384922445254,1.8364188576893983,0.2799040628995189,1.0591686801081532
21,10:30,8.819555656934307,8.4665669479927,1.8530380168353184,0.19049188723308205,1.0416920708369637
22,11:00,8.616567518248175,8.345834397810219,1.8181194082245697,0.14890832759017336,1.0324393113418344
23,11:30,8.710684306569343,8.317091240875914,1.7409743842408765,0.22607631063167447,1.0473234036148409
24,12:00,9.043251824817519,8.401993270985402,1.6646305349772008,0.38522575451909485,1.0763221932165281
25,12:30,9.446274635036497,8.548081204379562,1.6503088961498966,0.5442577645629758,1.105075444322727
26,13:00,9.631166058394161,8.538149520985401,1.5973786360736313,0.6842563890145686,1.128015623844757
27,13:30,9.508321167883212,8.442779539233577,1.5865298580595943,0.6716177594998722,1.1262074443254222
28,14:00,9.259104927007298,8.388780223540145,1.555207335205589,0.5596197264283745,1.1037486595518256
29,14:30,9.269436131386861,8.31054892791971,1.458287853552349,0.6575431600361538,1.1153819334659978
30,15:00,9.337600364963503,8.306295278284672,1.426143102247046,0.7231427793283127,1.1241594540197715
31,15:30,9.494902372262775,8.492236313868613,1.4544965122525022,0.6893561104807229,1.1180685535983867
32,16:00,10.156528284671532,8.886990875912408,1.4760548027987146,0.8600882611892068,1.142853461479309
33,16:30,10.671410583941606,9.607923243613138,1.5443131491335766,0.6886474682451083,1.110688575810118
34,17:00,11.676178832116788,10.806029881386863,1.7214357185261313,0.5054786195995367,1.080524388723812
35,17:30,13.72756204379562,12.771414233576639,1.9170566489147371,0.4987582452298763,1.0748662436854663
36,18:00,15.299309306569345,14.493662066605841,2.2312895357358875,0.3610679954620046,1.055586175271725
37,18:30,15.823934306569342,15.119517107664237,2.409395296621925,0.2923626521113941,1.0465899270386108
38,19:00,15.415788321167884,15.034366902372263,2.584168576645514,0.1475992790264254,1.0253699687703801
39,19:30,14.70454197080292,14.646940009124089,2.552630212277322,0.022565729027958722,1.0039326959517105
40,20:00,14.160383211678832,14.280069000912409,2.358399261196581,-0.05074873928380209,0.9916186827090311
41,20:30,13.72119799270073,14.061235287408762,2.2142596861397004,-0.1535670349943668,0.975817395288697
42,21:00,13.328068430656934,13.666936245437956,2.0781632934432173,-0.1630612069081283,0.9752052831230454
43,21:30,12.812223540145986,12.936190009124088,2.01409799985844,-0.0615493729633885,0.9904170803852861
44,22:00,12.182191605839417,11.922969890510949,1.8842889219318861,0.1375700468815042,1.0217413712949803
45,22:30,11.910079379562044,10.975472513686132,1.7023564385828502,0.5490077428519835,1.0851541347956073
46,23:00,11.471707116788322,9.784257413321168,1.6122172480598627,1.0466639688279142,1.1724657919536856
47,23:30,10.784947080291971,8.410566035583942,1.3522974227586533,1.7558127411530153,1.2823093041137006
